flags;n_threads;nx;result;elapsed
None;1;512;0.0578281;13.7186
None;1;1024;0.0578281;13.7549
None;1;2048;0.0578281;13.6191
O3;1;512;0.0578281;9.13958
O3;1;1024;0.0578281;9.12284
O3;1;2048;0.0578281;9.10932
fopenmp;1;512;0.0578281;13.6625
fopenmp;1;1024;0.0578281;13.5907
fopenmp;1;2048;0.0578281;13.6384
fopenmp;2;512;0.0578281;13.7065
fopenmp;2;1024;0.0578281;13.6353
fopenmp;2;2048;0.0578281;13.6319
fopenmp;3;512;0.0578281;13.6143
fopenmp;3;1024;0.0578281;13.6389
fopenmp;3;2048;0.0578281;13.6292
fopenmp;4;512;0.0578281;13.677
fopenmp;4;1024;0.0578281;13.6538
fopenmp;4;2048;0.0578281;13.646
fopenmp;5;512;0.0578281;13.6408
fopenmp;5;1024;0.0578281;13.6646
fopenmp;5;2048;0.0578281;13.7654
fopenmp;6;512;0.0578281;13.6438
fopenmp;6;1024;0.0578281;13.6368
fopenmp;6;2048;0.0578281;13.6384
fopenmp;7;512;0.0578281;13.6593
fopenmp;7;1024;0.0578281;13.6798
fopenmp;7;2048;0.0578281;13.5825
fopenmp;8;512;0.0578281;13.6608
fopenmp;8;1024;0.0578281;13.589
fopenmp;8;2048;0.0578281;13.6262
fopenmp+O3;1;512;0.0578281;9.15434
fopenmp+O3;1;1024;0.0578281;9.14953
fopenmp+O3;1;2048;0.0578281;9.13371
fopenmp+O3;2;512;0.0578281;9.11344
fopenmp+O3;2;1024;0.0578281;9.14509
fopenmp+O3;2;2048;0.0578281;9.0501
fopenmp+O3;3;512;0.0578281;9.14524
fopenmp+O3;3;1024;0.0578281;9.12277
fopenmp+O3;3;2048;0.0578281;9.12763
fopenmp+O3;4;512;0.0578281;9.1166
fopenmp+O3;4;1024;0.0578281;9.09036
fopenmp+O3;4;2048;0.0578281;9.11397
fopenmp+O3;5;512;0.0578281;9.06208
fopenmp+O3;5;1024;0.0578281;9.08607
fopenmp+O3;5;2048;0.0578281;9.10399
fopenmp+O3;6;512;0.0578281;9.13265
fopenmp+O3;6;1024;0.0578281;9.07841
fopenmp+O3;6;2048;0.0578281;9.10192
fopenmp+O3;7;512;0.0578281;9.07336
fopenmp+O3;7;1024;0.0578281;9.14616
fopenmp+O3;7;2048;0.0578281;9.14262
fopenmp+O3;8;512;0.0578281;9.26328
fopenmp+O3;8;1024;0.0578281;9.13617
fopenmp+O3;8;2048;0.0578281;9.06551
